vault_name,protocol,category,underlying_assets,strategy_summary,tvl_usd,base_apy,reward_apy,net_apy_7d,net_apy_30d,risk_flags,audits,withdrawal_terms,vault_address,source_url,underlying_asset_class,risk_score,risk_tier,protocol_url
Fluid fwstETH (Arbitrum),Fluid,lending,wstETH,Fluid ERC-4626 lending fToken for wstETH,14172870,0,n/a,0,0.02,"depeg_risk,liquidation_risk","MixBytes, Statemind",instant (subject to utilization),0x66C25Cd75EBdAA7E04816F643d8E46cecd3183c9,https://defillama.com/yields/pool/eec88a7a-789c-4953-b33c-56d5fb3db8cf,eth,3,Medio,https://fluid.io/lending/42161
Aave v3 Arbitrum aArbUSDT0,Aave v3,lending,USDT0,Aave v3 supply market for USDT0,13416062,2.35,n/a,2.37,2.82,"depeg_risk,liquidation_risk","SigmaPrime, OpenZeppelin, Certora, ABDK, Trail of Bits",instant (subject to utilization),0x6ab707Aca953eDAeFBc4fD23bA73294241490620,https://defillama.com/yields/pool/3a6cc030-738d-4e19-8a40-e63e9c4d5a6f,stable,2,Bajo,https://app.aave.com/?marketName=proto_arbitrum_v3
Steakhouse High Yield USDC v2 (bbqUSDC),Morpho (Vault V2),lending,USDC,Morpho Vault V2 curated USDC high-yield strategy,12894232,2.83,0,3.66,4.0,"depeg_risk,liquidation_risk,centralized_dependency","MetaMorpho & Morpho Vault V2: Spearbit, Cantina, OpenZeppelin",instant (subject to market liquidity),0xbeeff1D5dE8F79ff37a151681100B039661da518,https://defillama.com/yields/pool/4a433427-2a7e-4193-bf83-e15c996915e8,stable,3,Medio,https://app.morpho.org/arbitrum/vault/0xbeeff1D5dE8F79ff37a151681100B039661da518
Aave v3 Arbitrum aArbWETH,Aave v3,lending,WETH,Aave v3 supply market for WETH,10820207,1.68,n/a,1.37,1.11,liquidation_risk,"SigmaPrime, OpenZeppelin, Certora, ABDK, Trail of Bits",instant (subject to utilization),0xe50fA9b3c56FfB159cB0FCA61F5c9D750e8128c8,https://defillama.com/yields/pool/e302de4d-952e-4e18-9749-0a9dc86e98bc,eth,2,Bajo,https://app.aave.com/?marketName=proto_arbitrum_v3
Compound v3 USDT Comet (cUSDTv3),Compound v3,lending,USDT0,Compound v3 USDT base lending market,8418376,2.08,0,2.1,2.17,"depeg_risk,liquidation_risk","OpenZeppelin, ChainSecurity, Certora",instant (subject to utilization),0xd98Be00b5D27fc98112BdE293e487f8D4cA57d07,https://defillama.com/yields/pool/85247b13-8180-44e7-b38c-4d324cc68a92,stable,3,Medio,https://app.compound.finance/
Fluid fWETH (Arbitrum),Fluid,lending,ETH,Fluid ERC-4626 lending fToken for ETH/WETH,5895109,1.11,n/a,1.12,1.37,liquidation_risk,"MixBytes, Statemind",instant (subject to utilization),0x45Df0656F8aDf017590009d2f1898eeca4F0a205,https://defillama.com/yields/pool/a980d165-d64a-45d8-b9c9-de2d628f5f23,eth,3,Medio,https://fluid.io/lending/42161
Ondo USDY (Arbitrum),Ondo,rwa,USDY,Tokenized short-duration US Treasury yieldcoin,5597627,3.55,n/a,3.55,3.55,"depeg_risk,centralized_dependency,withdraw_queue","Code4rena, Ackee, Pashov",T+0 KYC mint/redeem; instant on secondary,0x35e050d3C0eC2d29D269a8EcEa763a183bDF9A9D,https://defillama.com/yields/pool/1767cdec-8dad-4b8c-a61c-fa10ab4d3f92,stable,4,Medio,https://ondo.finance/
Theo thBILL (Arbitrum),Theo Network,rwa,THBILL,Tokenized institutional US T-bill basket (LayerZero OFT),5222399,3.52,n/a,3.51,3.56,"depeg_risk,centralized_dependency,withdraw_queue",none publicly disclosed,T+1 redemption via Theo (KYC),0xfDD22Ce6D1F66bc0Ec89b20BF16CcB6670F55A5a,https://defillama.com/yields/pool/406c2d1b-e2e6-4512-9bae-3ce861ee8052,stable,4,Medio,https://theo.xyz/
Compound v3 USDC Comet (cUSDCv3),Compound v3,lending,USDC,Compound v3 USDC base lending market,4647554,2.65,0,2.62,2.6,"depeg_risk,liquidation_risk","OpenZeppelin, ChainSecurity, Certora",instant (subject to utilization),0x9c4ec768c28520B50860ea7a15bd7213a9fF58bf,https://defillama.com/yields/pool/d9c395b9-00d0-4426-a6b3-572a6dd68e54,stable,3,Medio,https://app.compound.finance/
Aave v3 Arbitrum aArbLINK,Aave v3,lending,LINK,Aave v3 supply market for LINK,3871148,0.02,n/a,0.02,0.02,liquidation_risk,"SigmaPrime, OpenZeppelin, Certora, ABDK, Trail of Bits",instant (subject to utilization),0x191c10Aa4AF7C30e871E70C95dB0E4eb77237530,https://defillama.com/yields/pool/43644487-e26c-450c-8bcb-fb10c1e512e0,alt,4,Medio,https://app.aave.com/?marketName=proto_arbitrum_v3
Fluid fGHO (Arbitrum),Fluid,lending,GHO,Fluid ERC-4626 lending fToken for GHO,3620737,3.69,2.88,5.78,5.92,"depeg_risk,liquidation_risk","MixBytes, Statemind",instant (subject to utilization),0x037dFf1C12805707d7c29F163E0F09fC9102657A,https://defillama.com/yields/pool/19d0ddd5-083a-4839-a01a-5fdf066e94a3,stable,3,Medio,https://fluid.io/lending/42161
Gauntlet USDC Core (gtUSDCc),Morpho (MetaMorpho),lending,USDC,Curated MetaMorpho vault allocating USDC across Morpho Blue markets,3551255,2.86,0,4.75,4.09,"depeg_risk,liquidation_risk,centralized_dependency","MetaMorpho & Morpho Blue: Spearbit, Cantina, OpenZeppelin",instant (subject to market liquidity),0x7e97fa6893871A2751B5fE961978DCCb2c201E65,https://defillama.com/yields/pool/aebb9f47-d15b-4671-8fe3-debb6e913ae2,stable,4,Medio,https://app.morpho.org/arbitrum/vault/0x7e97fa6893871A2751B5fE961978DCCb2c201E65
Aave v3 Arbitrum aArbARB,Aave v3,lending,ARB,Aave v3 supply market for ARB,2742720,0.11,n/a,0.11,0.1,liquidation_risk,"SigmaPrime, OpenZeppelin, Certora, ABDK, Trail of Bits",instant (subject to utilization),0x6533afac2E7BCCB20dca161449A13A32D391fb00,https://defillama.com/yields/pool/ea8d9aa8-46ae-4447-a192-74515706a575,alt,4,Medio,https://app.aave.com/?marketName=proto_arbitrum_v3
Steakhouse High Yield USDC v1 (bbqUSDC),Morpho (MetaMorpho),lending,USDC,"Curated MetaMorpho vault, high-yield USDC strategy",2692671,2.86,0,3.81,4.56,"depeg_risk,liquidation_risk,centralized_dependency","MetaMorpho & Morpho Blue: Spearbit, Cantina, OpenZeppelin",instant (subject to market liquidity),0x5c0C306Aaa9F877de636f4d5822cA9F2E81563BA,https://defillama.com/yields/pool/c13f1940-9965-4eee-b7e8-af785591ceda,stable,4,Medio,https://app.morpho.org/arbitrum/vault/0x5c0C306Aaa9F877de636f4d5822cA9F2E81563BA
Aave v3 Arbitrum aArbrETH,Aave v3,lending,rETH,Aave v3 supply market for rETH,2189302,0.01,n/a,0.01,0.01,"depeg_risk,liquidation_risk","SigmaPrime, OpenZeppelin, Certora, ABDK, Trail of Bits",instant (subject to utilization),0x8Eb270e296023E9D92081fdF967dDd7878724424,https://defillama.com/yields/pool/d4cdd2fb-54bd-40fe-8093-e691ea0b291a,eth,4,Medio,https://app.aave.com/?marketName=proto_arbitrum_v3
