vault_name,protocol,category,underlying_assets,strategy_summary,tvl_usd,base_apy,reward_apy,net_apy_7d,net_apy_30d,risk_flags,audits,withdrawal_terms,vault_address,source_url,underlying_asset_class,risk_score,risk_tier,protocol_url,protocol_tier
Short-term US Government Securities (OUSG),Ondo Finance,rwa,USDC,Tokenized fund holding short-term US Treasury/T-bill exposure (incl. BUIDL); OUSG accrues yield.,218578313,3.42,n/a,n/a,3.45,"depeg_risk,centralized_dependency,lockup",none found,KYC redemption (instant via stablecoin window),0x1b19c19393e2d034d8ff31ff34c81252fcbbee92,https://defillama.com/yields/pool/7436db9b-2872-46c8-81a2-da6baff902b7,stable,3,Medio,https://ondo.finance/ousg,Tier 1
Apyx apyUSD Vault,Apyx,rwa,apxUSD,ERC-4626 vault wrapping apxUSD; accrues dividends from Digital Asset Treasury preferred-equity shares.,216191239,10.98,n/a,n/a,10.73,"depeg_risk,centralized_dependency",none found,unlock/redeem to apxUSD,0x38eeb52f0771140d10c4e9a9a72349a329fe8a6a,https://defillama.com/yields/pool/cb6139f9-4a68-4efd-8245-0312a92aee55,stable,1,Bajo,https://app.apyx.fi,Tier 3
Sentora RLUSD Main,Morpho (Sentora curator),lending,RLUSD,Curated Morpho Vault V2 lending RLUSD across isolated Morpho Blue markets,207378823,1.81,3.71,n/a,5.15,"depeg_risk,liquidation_risk,centralized_dependency","Morpho Vault V2: Spearbit, OpenZeppelin, Cantina",instant (subject to utilization),0x6dc58a0fdfc8d694e571dc59b9a52eeea780e6bf,https://defillama.com/yields/pool/2e53bb82-f13f-4157-a3bf-b1a91b94b6a4,stable,2,Bajo,https://app.morpho.org/ethereum/vault/0x6dC58a0FdfC8D694e571DC59B9A52EEEa780E6bf,Tier 1
Stader ETHx,Stader,restaking,ETH,Liquid staking token; ETH staked across permissioned and permissionless node operators.,205899092,2.25,n/a,n/a,2.32,"depeg_risk,centralized_dependency,withdraw_queue","Halborn, Code4rena, Sigma Prime",redemption via unstake queue,0xa35b1b31ce002fbf2058d22f30f95d405200a15b,https://defillama.com/yields/pool/90bfb3c2-5d35-4959-a275-ba5085b08aa3,eth,3,Medio,https://www.staderlabs.com/eth,Tier 2
SparkLend spLBTC,SparkLend,lending,LBTC,Supply LBTC to SparkLend money market; earn supply interest via spToken.,187048765,0,n/a,n/a,0,"liquidation_risk,depeg_risk","ChainSecurity, Cantina",instant (subject to utilization),0xa9d4ecebd48c282a70cfd3c469d6c8f178a5738e,https://defillama.com/yields/pool/ff17b423-bccc-4d12-9a72-68bde120ac62,btc,2,Bajo,https://app.spark.fi/markets,Tier 1
Aave v3 osETH (aEthosETH),Aave v3,lending,osETH,Supply osETH (StakeWise LST) to Aave v3 Core; receive aToken earning supply interest.,185950567,0,n/a,n/a,0,"depeg_risk,liquidation_risk","SigmaPrime, OpenZeppelin, Trail of Bits, Certora, ABDK, PeckShield",instant (subject to utilization),0x927709711794f3de5ddbf1d176bee2d55ba13c21,https://defillama.com/yields/pool/e043585f-923f-4009-934f-005232f34a27,eth,2,Bajo,https://app.aave.com/reserve-overview/?underlyingAsset=0xf1c9acdc66974dfb6decb12aa385b9cd01190e38&marketName=proto_mainnet_v3,Tier 1
Aave v3 USDC (aEthUSDC),Aave v3,lending,USDC,Supply USDC to Aave v3 Core market; receive aToken earning variable supply interest.,185761776,3.24,n/a,n/a,3.75,"depeg_risk,liquidation_risk","SigmaPrime, OpenZeppelin, Trail of Bits, Certora, ABDK, PeckShield",instant (subject to utilization),0x98c23e9d8f34fefb1b7bd6a91b7ff122f4e16f5c,https://defillama.com/yields/pool/aa70268e-4b52-42bf-a116-608b370f9501,stable,1,Bajo,https://app.aave.com/reserve-overview/?underlyingAsset=0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48&marketName=proto_mainnet_v3,Tier 1
BlackRock USD Institutional Digital Liquidity Fund (BUIDL),BlackRock / Securitize,rwa,USDC,"Tokenized money-market fund (cash, US Treasuries, repo); original share class, daily dividend accrual.",178575733,3.2,n/a,n/a,3.21,"depeg_risk,centralized_dependency,lockup",none found,KYC redemption T+0,0x7712c34205737192402172409a8f7ccef8aa2aec,https://defillama.com/yields/pool/b2b1d98f-cac1-4e7b-8cd8-d67b576fd259,stable,3,Medio,https://securitize.io/primary-market/the-blackrock-usd-institutional-digital-liquidity-fund,Tier 1
Janus Henderson Anemoy AAA CLO Fund (JAAA),Centrifuge,rwa,USDC,Tokenized AAA-rated CLO fund (floating-rate) by Janus Henderson/Anemoy on Centrifuge; ERC-7540 async.,174588835,2.32,n/a,n/a,4.1,"depeg_risk,centralized_dependency,lockup,withdraw_queue",none found,epoch settlement (KYC),0x5a0f93d040de44e78f251b03c43be9cf317dcf64,https://defillama.com/yields/pool/325645ce-4e97-49cb-a8e8-d0100c3aea7b,stable,4,Medio,https://www.anemoy.io/funds/jaaa,Tier 2
Re Protocol reUSD,Re,other,"USDC,USDT,USDe,sUSDe",Senior-tranche deposit token channeling stablecoin capital into collateralized reinsurance contracts.,174501444,5.23,n/a,5.1,5.61,"depeg_risk,centralized_dependency,withdraw_queue",none found,redemption via withdrawal request,0x5086bf358635b81d8c47c66d1c8b9e567db70c72,https://defillama.com/yields/pool/1c312830-ee96-40c9-b55f-b0f209ca6ebd,stable,2,Bajo,https://www.re.xyz,Tier 3
Fluid wstETH (fwstETH),Fluid,lending,wstETH,Supply wstETH to Fluid permissionless money market; earn borrower interest via ERC4626 fToken.,163744189,0.03,n/a,0.04,0.06,"liquidation_risk,depeg_risk","StateMind, MixBytes",instant (subject to utilization),0x2411802d8bea09be0af8fd8d08314a63e706b29c,https://defillama.com/yields/pool/69b12bf9-edb6-46d9-b5bc-761cf9efe137,eth,2,Bajo,https://fluid.io/lending/1,Tier 1
Aave v3 USDe (aEthUSDe),Aave v3,lending,USDe,Supply Ethena USDe to Aave v3 Core; receive aToken earning supply interest plus rewards.,156371762,1.0,3.07,4.18,5.14,"depeg_risk,liquidation_risk","SigmaPrime, OpenZeppelin, Trail of Bits, Certora, ABDK, PeckShield",instant (subject to utilization),0x4f5923fc5fd4a93352581b38b7cd26943012decf,https://defillama.com/yields/pool/21e1ac8a-b3aa-4576-9506-0b40137721a0,stable,1,Bajo,https://app.aave.com/reserve-overview/?underlyingAsset=0x4c9edd5852cd905f086c759e8383e09bff1e68b3&marketName=proto_mainnet_v3,Tier 1
SparkLend spWBTC,SparkLend,lending,WBTC,Supply WBTC to SparkLend money market; earn supply interest via spToken.,146527906,0.0,n/a,0.0,0.0,"liquidation_risk,depeg_risk","ChainSecurity, Cantina",instant (subject to utilization),0x4197ba364ae6698015ae5c1468f54087602715b2,https://defillama.com/yields/pool/03406d3a-fcc4-4fe3-8809-7a95222951b6,btc,2,Bajo,https://app.spark.fi/markets,Tier 1
SolvBTC,Solv Protocol,basis_trade,WBTC,BTC reserve token backed 1:1; deployed into basis-trade and yield strategies via managed vaults.,146138251,0,0,n/a,0,"depeg_risk,centralized_dependency,withdraw_queue","SlowMist, Quantstamp, Salus",redemption request,0x7a56e1c57c7475ccf742a1832b028f0456652f97,https://defillama.com/yields/pool/bcbcda53-f75e-4b99-9b5b-84a6d2cafb3b,btc,3,Medio,https://solv.finance,Tier 2
Bitwise USCC (Compounding Crypto),Bitwise (Superstate USCC),basis_trade,USDC,Tokenized fund running crypto cash-and-carry basis trade on BTC/ETH; KYC-gated qualified-purchaser shares.,144528345,4.42,n/a,n/a,4.18,"centralized_dependency,withdraw_queue",none found,KYC redemption window,0x14d60e7fdc0d71d8611742720e4c50e7a974020c,https://defillama.com/yields/pool/aff74ce8-4fe3-462b-af11-542cc16d24b2,stable,1,Bajo,https://uscc.superstate.com,Tier 2
Aave v3 LBTC (aEthLBTC),Aave v3,lending,LBTC,Supply LBTC (Lombard staked BTC) to Aave v3 Core; receive aToken earning supply interest.,130966075,0,n/a,n/a,0,"depeg_risk,liquidation_risk","SigmaPrime, OpenZeppelin, Trail of Bits, Certora, ABDK, PeckShield",instant (subject to utilization),0x65906988adee75306021c417a1a3458040239602,https://defillama.com/yields/pool/b7444791-ecab-4bc4-85dc-9eb351064d98,btc,2,Bajo,https://app.aave.com/reserve-overview/?underlyingAsset=0x8236a87084f8b84306f72007f36f2618a5634494&marketName=proto_mainnet_v3,Tier 1
Renzo Restaked ETH (ezETH),Renzo,restaking,ETH,Liquid restaking token; ETH restaked via EigenLayer across AVSs to earn staking + restaking rewards,126691844,2.69,n/a,2.51,1.89,"depeg_risk,centralized_dependency,withdraw_queue","Halborn, Sigma Prime, Code4rena",withdraw queue (EigenLayer unbonding) or DEX swap,0xbf5495efe5db9ce00f80364c8b423567e58d2110,https://defillama.com/yields/pool/e28e32b5-e356-41d9-8dc7-a376ece56619,eth,3,Medio,https://app.renzoprotocol.com,Tier 2
Savings GHO (sGHO),Aave,lending,GHO,"ERC-4626 savings vault: deposit GHO, earn governance-set savings rate paid in GHO.",125563736,4.25,n/a,4.25,4.25,"depeg_risk,centralized_dependency","SigmaPrime, Certora, OpenZeppelin",instant,0xe1753f2e00940cc31213dd92013cf019dfe4ca1d,https://defillama.com/yields/pool/19d024ed-9c70-4323-9a81-fe873ea5f0e0,stable,1,Bajo,https://aave.com/docs/aave-v3/guides/sgho,Tier 1
Spark ETH Savings Vault (spETH),Spark,yield_aggregator,WETH,ERC4626 vault; WETH deployed via Spark Liquidity Layer across curated ETH yield strategies,124329114,1.3,n/a,1.33,1.39,centralized_dependency,"ChainSecurity, Cantina",instant (subject to available liquidity),0xfe6eb3b609a7c8352a241f7f3a21cea4e9209b8f,https://defillama.com/yields/pool/bace601a-530a-432c-9b79-8c6451de25ea,eth,1,Bajo,https://app.spark.fi/savings/mainnet/speth,Tier 1
